,gbif_column,obis_column,normalized_name,match_type,similarity,differences
81,otuseqcompappr,otu_seq_comp_appr,otuseqcompappr,fuzzy,1.0,GBIF: 'otuseqcompappr' vs OBIS: 'otu_seq_comp_appr'
82,envlocalscale,env_local_scale,envlocalscale,fuzzy,1.0,GBIF: 'envlocalscale' vs OBIS: 'env_local_scale'
83,automaticbaselinevalue,automaticBaselineValue,automaticbaselinevalue,fuzzy,1.0,GBIF: 'automaticbaselinevalue' vs OBIS: 'automaticBaselineValue'
84,contamscreenparam,contam_screen_param,contamscreenparam,fuzzy,1.0,GBIF: 'contamscreenparam' vs OBIS: 'contam_screen_param'
85,otudb,otu_db,otudb,fuzzy,1.0,GBIF: 'otudb' vs OBIS: 'otu_db'
86,samptaxonid,samp_taxon_id,samptaxonid,fuzzy,1.0,GBIF: 'samptaxonid' vs OBIS: 'samp_taxon_id'
87,nuclacidext,nucl_acid_ext,nuclacidext,fuzzy,1.0,GBIF: 'nuclacidext' vs OBIS: 'nucl_acid_ext'
89,probereporter,probeReporter,probereporter,fuzzy,1.0,GBIF: 'probereporter' vs OBIS: 'probeReporter'
90,ratioofabsorbance260230,ratioOfAbsorbance260_230,ratioofabsorbance260230,fuzzy,1.0,GBIF: 'ratioofabsorbance260230' vs OBIS: 'ratioOfAbsorbance260_230'
91,subspecfgenlin,subspecf_gen_lin,subspecfgenlin,fuzzy,1.0,GBIF: 'subspecfgenlin' vs OBIS: 'subspecf_gen_lin'
92,sampcollecmethod,samp_collec_method,sampcollecmethod,fuzzy,1.0,GBIF: 'sampcollecmethod' vs OBIS: 'samp_collec_method'
93,encodedtraits,encoded_traits,encodedtraits,fuzzy,1.0,GBIF: 'encodedtraits' vs OBIS: 'encoded_traits'
94,annealingtempunit,annealingTempUnit,annealingtempunit,fuzzy,1.0,GBIF: 'annealingtempunit' vs OBIS: 'annealingTempUnit'
95,libreadsseqd,lib_reads_seqd,libreadsseqd,fuzzy,1.0,GBIF: 'libreadsseqd' vs OBIS: 'lib_reads_seqd'
96,decontamsoftware,decontam_software,decontamsoftware,fuzzy,1.0,GBIF: 'decontamsoftware' vs OBIS: 'decontam_software'
97,complsoftware,compl_software,complsoftware,fuzzy,1.0,GBIF: 'complsoftware' vs OBIS: 'compl_software'
98,ampliconsize,ampliconSize,ampliconsize,fuzzy,1.0,GBIF: 'ampliconsize' vs OBIS: 'ampliconSize'
99,negconttype,neg_cont_type,negconttype,fuzzy,1.0,GBIF: 'negconttype' vs OBIS: 'neg_cont_type'
100,estimatedsize,estimated_size,estimatedsize,fuzzy,1.0,GBIF: 'estimatedsize' vs OBIS: 'estimated_size'
101,viridentsoftware,vir_ident_software,viridentsoftware,fuzzy,1.0,GBIF: 'viridentsoftware' vs OBIS: 'vir_ident_software'
102,trnaextsoftware,trna_ext_software,trnaextsoftware,fuzzy,1.0,GBIF: 'trnaextsoftware' vs OBIS: 'trna_ext_software'
103,seqmeth,seq_meth,seqmeth,fuzzy,1.0,GBIF: 'seqmeth' vs OBIS: 'seq_meth'
104,hostpredestacc,host_pred_est_acc,hostpredestacc,fuzzy,1.0,GBIF: 'hostpredestacc' vs OBIS: 'host_pred_est_acc'
105,refbiomaterial,ref_biomaterial,refbiomaterial,fuzzy,1.0,GBIF: 'refbiomaterial' vs OBIS: 'ref_biomaterial'
106,envmedium,env_medium,envmedium,fuzzy,1.0,GBIF: 'envmedium' vs OBIS: 'env_medium'
108,wgaampkit,wga_amp_kit,wgaampkit,fuzzy,1.0,GBIF: 'wgaampkit' vs OBIS: 'wga_amp_kit'
109,automaticthresholdquantificationcycle,automaticThresholdQuantificationCycle,automaticthresholdquantificationcycle,fuzzy,1.0,GBIF: 'automaticthresholdquantificationcycle' vs OBIS: 'automaticThresholdQuantificationCycle'
110,simsearchmeth,sim_search_meth,simsearchmeth,fuzzy,1.0,GBIF: 'simsearchmeth' vs OBIS: 'sim_search_meth'
111,numbercontig,number_contig,numbercontig,fuzzy,1.0,GBIF: 'numbercontig' vs OBIS: 'number_contig'
112,posconttype,pos_cont_type,posconttype,fuzzy,1.0,GBIF: 'posconttype' vs OBIS: 'pos_cont_type'
88,`16srecoversoftware`,_16s_recover_software,`16srecoversoftware`,fuzzy,0.9473684210526315,GBIF: '`16srecoversoftware`' vs OBIS: '_16s_recover_software'
107,`16srecover`,_16s_recover,`16srecover`,fuzzy,0.9090909090909091,GBIF: '`16srecover`' vs OBIS: '_16s_recover'
126,datasetkey,,datasetkey,gbif_only,,only in GBIF
127,,_id,id,obis_only,,only in OBIS
128,,_event_id,eventid,obis_only,,only in OBIS
129,,level,level,obis_only,,only in OBIS
130,,id,id,obis_only,,only in OBIS
